,gene,decouple_TAC,couple_TAC,decouple_cortex,couple_cortex,decouple_irs,couple_irs,decouple_medulla,couple_medulla
0,ENOX1,0.007122267558494044,-0.007132267558494044,0.0077486032549468065,-0.007758603254946806,-0.0017369042603232465,0.0017269042603232465,0.00673349644497459,-0.00674349644497459
1,DCTN1,0.004990567778923254,-0.005000567778923253,0.00613624391328027,-0.00614624391328027,0.002917810237047319,-0.002927810237047319,0.0033351739689014837,-0.0033451739689014837
2,MAGI1,0.005221483369023075,-0.0052314833690230746,0.00837207562943744,-0.008382075629437439,0.010316962256862308,-0.010326962256862308,0.008698200373775306,-0.008708200373775305
3,FBRSL1,0.008104358400799296,-0.008114358400799295,-0.00044824773363473513,0.0004382477336347351,0.0003582546433685968,-0.00036825464336859683,0.0031411147258009475,-0.0031511147258009476
4,KIF15,0.005616215589233017,-0.005626215589233017,-0.013420588786867277,0.013410588786867277,0.0002945127981022755,-0.0003045127981022755,-0.0046416967514950475,0.004631696751495048
5,TTYH2,0.011711607506496573,-0.011721607506496572,-0.024757860427616477,0.024747860427616477,0.004369586155662117,-0.004379586155662116,0.001645523094450499,-0.001655523094450499
6,RAB28,-0.0002656868398816098,0.00025568683988160977,0.0024601718470710215,-0.0024701718470710216,0.0013207266993223582,-0.0013307266993223582,-0.001742867413028218,0.0017328674130282179
7,CCDC171,0.006924116118152801,-0.006934116118152801,0.012269526081166604,-0.012279526081166604,-0.005646517576945662,0.005636517576945662,-0.008966327888029951,0.008956327888029952
8,WNT5A,0.0024976628831155923,-0.0025076628831155923,-0.00418074568862796,0.00417074568862796,0.002458366175985091,-0.002468366175985091,0.0009852180872108873,-0.0009952180872108874
9,NUP153,0.004948970883245474,-0.004958970883245473,0.008055812048651842,-0.008065812048651842,-0.0003233895413763399,0.0003133895413763399,0.005314926749055676,-0.005324926749055676
10,LTBP3,0.010286672399099667,-0.010296672399099666,0.007591775515819271,-0.007601775515819271,-0.001177948257401043,0.001167948257401043,0.004457843554568783,-0.004467843554568782
11,PITPNB,0.00726602118282841,-0.007276021182828409,0.009506899567506666,-0.009516899567506665,0.00738638491920067,-0.007396384919200669,0.008674586678964966,-0.008684586678964965
12,BRD1,0.00511563518815128,-0.005125635188151279,0.00899661435309354,-0.00900661435309354,0.007709646944463258,-0.007719646944463258,0.01097331397554785,-0.010983313975547849
13,BRIX1,0.0030832264469343104,-0.0030932264469343104,0.004579812646469478,-0.004589812646469477,-0.0014501094178376167,0.0014401094178376167,-0.0012642477140520358,0.0012542477140520358
14,RCL1,0.0075823561636919196,-0.007592356163691919,0.003332369206609162,-0.003342369206609162,0.00840538369358805,-0.00841538369358805,-0.011956177602367377,0.011946177602367377
15,DSC2,0.003785958637417805,-0.003795958637417805,-0.0014925324443553628,0.0014825324443553628,,,-0.010069705163637907,0.010059705163637907
16,ST5,0.006436261461332804,-0.0064462614613328036,0.008655120253416346,-0.008665120253416345,-0.007577302776606523,0.007567302776606524,0.00527229724201278,-0.00528229724201278
17,NOL8,-0.0005712427736809592,0.0005612427736809591,0.012178063737918021,-0.01218806373791802,-0.006076259765743927,0.0060662597657439275,-0.004678559394652365,0.0046685593946523656
18,BLM,0.008261896167981626,-0.008271896167981626,-0.0013956260655233615,0.0013856260655233615,-0.011081003239105505,0.011071003239105506,-0.0061588446240310735,0.006148844624031074
19,LRP4,0.007077827026489132,-0.007087827026489132,0.00591768741211568,-0.005927687412115679,0.0014552881470120543,-0.0014652881470120544,1.7060797081761003e-05,-2.7060797081761002e-05
20,PCDH7,0.003780545164919713,-0.003790545164919713,0.008901652913788721,-0.00891165291378872,0.006325936465442689,-0.006335936465442688,0.00655470407392196,-0.00656470407392196
21,MAP3K9,0.009963987027334614,-0.009973987027334614,-0.002002566025235325,0.001992566025235325,-0.0007697098330412822,0.0007597098330412821,-0.003155384605097955,0.003145384605097955
22,ZFP292,0.0013906390473319014,-0.0014006390473319014,0.009031086902524021,-0.009041086902524021,0.012874868329973838,-0.012884868329973837,0.009842723715125706,-0.009852723715125706
23,PEX7,0.010446417251802974,-0.010456417251802973,0.003484906042334826,-0.003494906042334826,0.004271420445644797,-0.004281420445644796,-0.002757790550108538,0.002747790550108538
24,SHQ1,0.0043815352547352596,-0.004391535254735259,0.015477376239560803,-0.015487376239560802,-0.04806866123337072,0.048058661233370714,-0.0028019434104003677,0.0027919434104003676
25,RRP1B,-0.0020235618144526513,0.0020135618144526512,0.00783495846650395,-0.00784495846650395,0.005390173484143959,-0.005400173484143959,0.0034814856584880344,-0.0034914856584880344
26,GOLGB1,0.0038890710971254683,-0.0038990710971254683,0.008855981972878471,-0.00886598197287847,0.006389979413448987,-0.006399979413448987,0.014047420719824219,-0.014057420719824219
27,UST,0.004216259513537268,-0.004226259513537268,0.01026438940460131,-0.01027438940460131,0.01610170789664213,-0.016111707896642128,0.0049733330142095605,-0.00498333301420956
28,CSGALNACT1,0.008345806376879476,-0.008355806376879476,0.00846888553214832,-0.00847888553214832,0.009126215761985843,-0.009136215761985842,0.010462544218090356,-0.010472544218090355
29,TM4SF1,0.010545670976078315,-0.010555670976078315,,,-0.026086778456388446,0.026076778456388446,-0.015138646136762218,0.015128646136762219
30,ZFYVE16,0.010841826418675801,-0.0108518264186758,-0.00022199171860093347,0.00021199171860093348,-0.0007555104992382905,0.0007455104992382905,-0.0118250864645736,0.0118150864645736
31,HMGXB3,0.003706289048450981,-0.003716289048450981,0.005719962414091423,-0.0057299624140914225,0.00462765570791468,-0.004637655707914679,0.0026431601953241096,-0.0026531601953241096
32,FANCL,0.004537352699710312,-0.0045473526997103116,-0.025644599484463397,0.025634599484463397,0.0025192900830284665,-0.0025292900830284665,-0.02711240566075259,0.02710240566075259
33,ZFP185,0.004606711404937194,-0.004616711404937194,0.010378096023370184,-0.010388096023370184,0.012157896475566449,-0.012167896475566448,0.013540588356514796,-0.013550588356514796
34,LPIN2,0.0023512469881600065,-0.0023612469881600065,-0.0006670978753402085,0.0006570978753402085,-0.0037246465412576757,0.0037146465412576757,0.005367088883288851,-0.00537708888328885
35,TBRG4,0.011053075918006458,-0.011063075918006458,-0.005399045811125283,0.0053890458111252836,-0.0020178550822699676,0.0020078550822699675,0.00023119688091401136,-0.00024119688091401136
36,MAP1B,-8.713794692408183e-05,7.713794692408183e-05,0.004663494848468716,-0.004673494848468716,,,0.013908314797003204,-0.013918314797003204
37,AAK1,0.004845803231757775,-0.004855803231757775,0.011481859261406116,-0.011491859261406116,0.005411972951932617,-0.005421972951932617,0.0028544840394723325,-0.0028644840394723326
38,TFG,0.009037719725871009,-0.009047719725871008,0.0036588982617984517,-0.0036688982617984517,-0.008426231261435407,0.008416231261435408,-0.0020095614706064496,0.0019995614706064496
