,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
61,ZDHHC21,,,,-0.003929254095511675,-0.004093735121420732
62,E2F3,-0.0011073462657433999,0.000839919044768142,-0.0012070336638182466,-0.0002801684932554997,-0.0018839387122804828
63,CEP126,-0.000996957313978252,-0.0014663638998546839,-0.001841581101926353,-0.000577925137165751,
64,KHDRBS3,,,,,
65,ZNF780B,-0.0006650599096493237,-0.001969523699872893,-0.0018044750289358709,-0.0013523092157361662,
66,ZNF235,,,0.0036184524291598755,-0.0017002186587785125,
67,SLX4IP,,-0.001115001051449887,-0.0012309378732913052,-8.174748666540683e-05,-0.0006440556694057766
68,ABL1,0.0003423918699981682,-0.0006593727149544031,-0.0011988299822688004,-0.00101725407595677,-0.0011842443021234678
69,DNAJC27,-0.0012823602096277385,-0.0013579878109577868,-0.0004973613291278907,-0.0006345936421702026,-0.0014291299523661012
70,PPP1R16B,-0.0005691646554341137,-0.0009939846514830843,-0.0001958086284771952,-0.0008292512309298295,0.0002461099825317812
71,MBTPS2,,0.0009075228842250118,,0.0006753507044939318,
72,SGO1-AS1,-0.0007819615834302419,0.0003262037647049545,-0.000833367203727846,-0.0010941476180737321,-0.0009343062442743379
73,DNASE2,,,,-0.0012207268622469666,
74,GNAQ,-0.0009008334867124674,-0.0009615873563177946,-0.002066724991100102,-0.0005439399272956615,-0.0010635736666622878
75,LEKR1,,,-0.0014431058815707158,,
76,MSI2,-0.0002247436149144296,-0.0006204088547202766,-0.0014105580166849027,-2.7024704002674357e-05,-0.00014543483019877936
77,IBA57,-0.001946831019469848,-0.0012410441574774401,-0.0005073581620521524,-0.00019047557272702624,0.00036026310584122076
78,MYO6,0.0012144024326737925,-0.002173244805638193,-0.0049087146352008795,-0.0038626669588359384,
79,LIAS,,-0.0007810622029744661,-0.0013821998793994662,-0.00014115834483598502,-0.0014943625142716903
80,TEX2,-0.0009489074323674306,-0.0006858193627960005,-0.0016114371399175431,-0.0005332166291491308,0.0008507328232860902
81,ATP1B1,0.0008569251092407169,,,,0.000998871038526583
82,ZUP1,-0.002806169050278801,0.0009917288006696962,7.602018606704675e-05,-9.344439231180612e-07,
83,SLF2,-5.679054528894001e-05,-0.0010221562691789332,-0.001595774186704299,-0.0012632971924568786,-0.0015966826590026236
84,MAPKBP1,-0.0013445946849530033,-0.001322581114361939,-0.0007503711037142044,-0.0016542124038590534,-0.00025416707813250873
85,DDOST,-0.0006747850316658893,-0.000992738802280133,-0.00019890819911160852,-0.0007595280898127048,-0.002946052824537892
86,GLUD1,-0.0006606123507757631,-0.0007874728425367582,-0.0010783511290245332,-0.000766018493904644,-0.0027417960067351622
