,gene,decouple_th1,decouple_Th17,decouple_Th2,decouple_Tcm,decouple_Treg
269,AP3S1,-0.0022632584083061838,-0.0005690625543251912,-0.0014759409056687703,-0.0010916383746403203,-0.002488355366431289
270,XKR6,-0.00110370328835817,-3.428745745922071e-05,0.0008710385666664822,-0.00044979300128024195,
271,KIAA0586,-0.0004920114382599167,-0.0007866469461659626,-0.0015223474404158898,-0.0007776234301315743,
272,PELI2,-0.0011350069111260418,-0.0006119982526823272,-0.0010858595483564087,-0.00017781867240306698,-0.002553333194034519
273,PUS10,-0.0007690003412886906,,-0.0019406843127248892,-0.00017271262139031789,
274,WWOX,-0.0008418062599778705,-0.0008912721736570811,-0.000649126935510694,-0.0008358105880624462,-0.0007287880329974981
275,DPP4,-0.0018446255323561755,-0.0015249492380435513,0.0023969261704134426,-0.0023219600927210943,
276,ZC3H12B,-0.0015499964823693872,-0.000498698710183763,,3.0921134018639662e-06,
277,ACADSB,-0.00025456306711802053,-8.30212201082016e-05,-8.447912013718507e-05,-0.0004967020646037988,-0.002163112524087924
278,TAF9,,0.000191407849213919,-0.0007089234309384743,-0.0004562967540846551,
279,MAGED1,-0.000756297490965006,,,-0.0039009642925527128,
280,TTC22,,,,,
281,PKP4,-0.0015257759432490787,-0.000459447179579452,-0.0006927269546598974,-0.0014828587481906233,0.0017274936853048737
282,ZC2HC1A,-0.0021132111858169315,-0.0016087695471592237,-0.0003139561586896992,-0.0014718451516205298,-5.6555106189107654e-05
283,NSUN6,-0.0006542086115661015,-0.0020230007451786805,-0.0016949172718816966,2.8898607881175375e-05,-0.002358671035757001
284,DAPK3,,,,,
285,FAM120C,-0.0017504186783999197,-0.0020971056388971055,,-0.0011382081620847032,
286,TMEM178B,,1.2184654177856136e-05,,-0.003258125741862558,
287,LINS1,-0.0011152273687169588,-0.00017419364899860963,-0.0007508596129513524,-0.0005514527171662275,-0.001572428287735926
288,ARHGEF3,-0.00017968798377767693,-0.00014883781573600714,0.000276102100778294,-0.0005627622525665506,0.00031636800616610845
289,PAPSS1,-0.0005024593978138195,0.00032227794007894887,-0.0005604987314501873,-0.0005272588566284635,-0.0009627696170314577
290,DNAJC25,-0.00012920630437465892,-0.0014759196471513594,,-0.0008139466725615432,6.992373548479411e-05
291,SF3A3,-0.0025825301394903598,-0.0002478048645463155,-0.001304039484024416,-0.0004044531939929128,-0.0009627859000228695
292,LRRC8D,-0.0007964834594095058,-0.0013886873689641643,-0.002792071608483767,0.00035320589795808516,
293,PMS2,-0.002813602860555488,-0.0005771687397568576,-0.0018225434716257396,-0.000892424020345897,-0.0007798856607997128
294,VWA8,-0.0006801107275979171,-0.002014243370669024,-0.0030671821933678494,-0.0004670524693168466,-0.004214518589595213
295,RNF121,-0.000689874122177983,-0.0006075968325653909,,-0.001059891020453293,
296,DNAJC24,-0.00021225625816668515,-0.0010958114575480259,,-0.001159106230956948,
297,ABHD3,-0.0010856764537704048,-0.00033147843353015065,-0.00039051565493870843,-0.0015114967003511393,-0.0017412870799831288
298,ESD,-0.00172614621659818,-0.0016915180546513073,0.0011918581104155435,-0.002152670422725306,
299,GATA3,-0.0007360501700101373,-0.0009493498993469081,-0.0007296080378511073,-0.0006597784959549609,-0.0010012072661657505
300,RPS27L,-8.630761469738749e-06,-0.002094008293927377,0.000564762163433279,-0.00039558888483533054,0.0037643515923529228
301,MAP3K21,-0.0015566836683902022,6.585375463234559e-05,,-0.0009326434799272207,
302,TXNDC12,-0.0004985949624976803,-0.0008562937086622384,-0.0007557377483555878,-0.0006951992096561948,-0.0003472453552031355
303,QKI,-0.0005982045640502889,-0.0008729652744103571,-0.0006819136919424384,-0.0006877251956160174,-0.0032836001422619446
304,ZNF669,-0.0007440208837527894,3.552116752771929e-05,,-0.00031814199006788453,
305,SAMD9L,,,,,
306,CHCHD5,0.0001961498830601021,,,-0.0006121890919988564,
307,TAF12,-0.0003011138818940443,-0.0005346284653097323,0.00041565572407990456,,-0.0013472314451069816
308,ACAP2,-0.0006715268654055818,-0.001206075979823691,-0.001416001013723852,-0.000606944024436575,-0.005839067161386213
309,STAM2,-0.001136918008438825,-0.0014118310531346396,-0.0014435845118322774,-0.0006129018712700812,
310,FAM83D,-0.0007740668411983934,-0.00033579075044493263,-0.001325198029497477,-0.001138888042930144,0.0002510251862551799
311,STT3A,-0.0015632946331929215,0.0008397476098066601,-0.0006589321352343594,-0.00015118619468335037,-0.0008527925180833165
312,LINC00467,,,,,
313,DUSP4,-0.0008384405576812191,-0.0020911418014738746,-0.00019847127106622543,-0.0007341207209072744,-0.002341804399511413
314,SUSD3,-0.0001717281111910593,0.00026046056962890016,-0.0016300713557108638,-3.166180014677229e-05,
315,TES,-0.0007211315230849173,-0.0009449714248259706,-0.0017891193498792242,-0.0007336725012376619,-0.0020477958536971787
316,SSBP2,-0.0006792528429176332,-0.001019397714936877,-0.0014273399360248545,-0.0005558991019686647,-0.0029000358527967954
317,KLHL2,0.0030016331108504886,0.0004735714726571173,,-0.0009455470452271082,-0.004740115678292849
318,PPA1,-0.0007775028792754834,-0.00038807144391125696,-0.0010548674323087532,-0.00023767085661466607,-0.0005483936058487404
319,ATP6V1A,-0.0009625358073539064,-0.001126289118883083,-0.0011661571284711037,-0.0006480563915455531,-0.0005019845781800113
320,BDNF-AS,,-0.0006165709000405788,-0.001278065119600792,-0.001135583962624258,
321,TTC38,,,,,
322,FAM168A,-0.0019236616263406583,-0.0014070194941021496,-0.0026674107150332013,-0.00030909630986552215,-0.0003157459868121295
323,ZWILCH,0.00030968207182377125,-0.0011489375744812387,-0.0010702986669891244,-0.0008971932681459873,-0.0022695921319278393
324,ITGA4,-0.0008381596692122791,-0.001080285448030566,-0.001989547895906699,-0.0011460252266285876,-0.0006910738983682985
325,KIAA0895,-0.0011860673110710446,-0.0015018614750735102,,-0.0007864169686442341,
326,ITGB3BP,,1.1638335920377899e-05,0.0008154428224501804,,
327,CRYL1,-0.000866879639180352,-0.0014787306686683491,,-0.0008967789262675297,
328,MAP4K3,0.00023055033159504953,0.0009638679822885927,-0.0005271927059390929,-0.001074162998336176,-0.0004923857597653909
329,TMX4,-0.00039017055291968965,-0.0012676143558677192,-0.0012409672654686617,-0.0005897597721998844,0.001108580156748985
330,SLC4A2,-7.5155862500446424e-06,-0.0001033492780799835,,0.0005210392565485255,
331,PATZ1,-0.0015744644880684557,-0.00058476509030146,,-0.00069251713347718,
332,REV3L,-0.0010224684877283546,0.0001833541261474182,-0.001958684743189016,-0.0004592934724604791,-0.002433995163689008
333,ZCWPW1,0.00031441655392954425,-0.001072387541132919,,5.9144768435293385e-05,-0.0005242986795673307
334,SOS2,8.034493457136777e-06,-0.0016733081631044146,-0.0006136378422308738,-0.0007343396398928415,0.00805344426484991
335,BMT2,-0.0003643299537785163,0.00042973167267357486,-0.0003907253480957655,-0.0007716740725915508,-0.0017677964192174718
336,METTL15,-0.0012402778006099947,-0.0009466369066608044,-0.00036726402043809996,5.4109779006528656e-05,2.7695177383076433e-05
337,HEATR3,,-0.000958028120412872,-0.001732389949341915,,
338,MICU3,-0.002217691573146406,-0.002188408885265343,,-0.0005570297518187415,-0.014522529777141586
339,ACVR1,-0.0013560396999266807,-0.00045384477658295085,,-0.000988981828813117,-0.0005458284517730373
340,TMEM260,-0.0020710983992653156,-0.0013736760787804734,-0.0029560380121954576,-0.001099847421766659,-0.0025336976528733176
341,SIAE,,0.0003527862356376057,,0.00045310968558858085,
342,ANKRD44-IT1,,-0.0006612443134775096,-0.002658994455752156,-0.00018530780523482414,0.0001367928309775543
343,MSH3,-0.0016586275153932448,-0.0004839949341145025,-0.0004256013559724523,-0.0013258936637252283,-0.004258536054280773
344,COQ3,,,,,
345,DGCR8,-0.0009568424763043148,-0.0001964299149451107,,-0.001370158162140576,0.0006596043461022834
346,XKR9,-0.0005510916995452655,,-0.0010399288868333453,1.4613244067843319e-05,-0.0011138114303508844
347,UQCR10,-0.0006739745241194587,,,,0.0007654018359427549
348,CTNNA3,-0.0009857491347930528,-0.00026992282876104647,-0.00031388706582754534,-0.00038083049127087595,-0.0011127405366252114
349,BCL2L11,-0.001798650413821874,-0.00133494241954649,-0.0008945183898438278,-0.00010779769847405005,-0.0006434902551279622
350,CDK10,,-0.0021624382165118614,,,
351,LST1,,,,,
352,NT5M,-0.0006944141501871656,,,,
353,PIK3CA,-0.0007994849702148733,-0.0006069563019658105,-0.0007638655407292711,-0.0009217716599831255,-0.0017811686775565556
354,SEC11A,-0.0011685055202580227,-0.0010063467189799311,-0.0016513520850974343,0.00018263784588563522,-0.0001412966693724628
355,UBN2,-0.0011513709930394966,0.0001984898221023164,,-2.8755435369143614e-05,
356,MAN1C1,-0.0015625244118382831,-0.0008866235267304236,-0.0005856146572385959,-0.0007840241667045394,-0.0012034187040799327
357,PSMD4,-0.0010990348406113848,,-0.0011523958378464507,-0.00031699750012073764,
358,RFX3-AS1,-0.0004944926197032115,-0.0001850896572980357,-0.0017502011304798637,-0.0004710738141077567,-0.0003640880978703371
359,ABCA3,,,,,
360,GTF2F2,-0.0012140189522078602,0.0007607642411803003,-0.0005540574477660189,-0.0008369075025082247,-0.006331413436528564
361,CCDC88A,-0.0016579204572886273,-0.00202346242481735,,-0.0010557014513170818,
362,ZNF821,-0.0017992124051761206,-0.0003635965507934238,-0.0005089882370573999,-0.000758527401967299,0.0005993084623755474
363,B9D1,,-0.0024755530113299874,,-0.00012310691481296106,
364,CCP110,-4.94929590476572e-05,-0.0012186043538796928,-0.0010767858100996603,-0.0011298170896376905,
365,LINC00476,-0.00040519172261137965,-0.0013452328876614053,-0.00032484030126546555,-0.0010052148472640618,-0.0032935748829711897
366,RIC8A,-0.0010873462594551539,-0.0011634080974155456,-7.738310146768526e-05,0.00044237898463010423,
367,POLR3C,-0.001309625650059796,-0.00028384050350261335,-0.003218619961697618,-0.0005616532714877633,-0.0008562592309302453
368,PHTF2,-0.0010127034361829355,4.904241100135362e-05,-0.00057449466896405,-0.00045404693467024793,-0.0007004936958541451
369,PRMT3,-0.0021266273318374966,-0.0007609524222059703,-0.000262132685144233,-0.0011399855586947377,-0.0021452944883452313
370,ORC4,-0.0014032311927519043,-0.000745237469526332,7.083686800065866e-05,-0.0009586518281815481,9.846843975035158e-05
371,RNF13,-0.0008570430515651688,-0.001952562508398677,-0.0014400889907045782,-0.0010134749357701275,-0.0026976993591020914
372,MCAM,-0.0005310779304461607,-0.0009981427236525437,,0.0006937933482845443,-0.0008041062591129661
373,ICE2,-0.001322339316960944,-0.0009660931183786249,-0.0016150299834904224,-0.0006098668364866505,-0.0006955523396292677
374,ZNF724,0.0003172268136983434,-0.0008620642023892452,-0.0006141504538485412,-0.0008245935354731357,
375,TICAM1,-0.00035950841474208413,-0.0010327337132635724,-0.001111892227835547,-0.0010134513698981636,-0.001301240714698327
376,ERP44,-0.0009622461795940843,-0.0012895216807604559,-0.0007544795017329188,-0.0008459561267857461,-0.001090438244667159
377,CDKL3,-0.0006871333051404662,0.0007463107236140385,0.0006642148811454602,0.00020560663839673445,-0.0016455762667513044
378,SLC16A1-AS1,-0.0017933186428333598,-0.0014575781620826053,-0.0016935912971508,-0.0009971865947875263,
379,HNRNPLL,0.00018145009296690988,0.0006412259342809812,-0.0015348547315232912,-7.94551795368463e-05,-0.0022671452884380355
380,NRDC,-0.0016876150770755195,-0.0014905329438822902,-0.00024885981252172756,-0.000368348746798957,-0.0012553208868699081
381,ARMH1,-0.00021614920996772605,0.0008523424699401014,-0.0002632313562995455,0.00032518635748315147,-0.0010351270846619912
382,LINC02067,,,,,
383,RGS12,-0.001704736498817876,-0.0014578283671537132,-0.002397055561248033,0.00039085727385470767,
384,RPS6KA2,-0.0006194172849306196,-8.877364479688461e-05,-0.000486609760517071,2.3474058873020932e-05,-0.0018267519106749206
385,GMDS,-0.00011875008634373158,-0.00012823654236585394,-0.001144951742572231,-0.0007783894363154109,0.0001200668342866279
386,SPECC1L,-0.0006582546475387627,-0.0007516585730133821,-0.0009881920771590306,-0.0006745941588272089,-0.003596459780600983
387,PMEPA1,-0.0006119670154259762,-0.000996778513245162,-0.0007946176911187031,0.0004427332696424948,
388,CRTC1,-0.0012905357773770696,-0.001266204378202549,-0.0014114480014245142,-0.0004486781350681382,-0.0026422067163294864
389,SVIL,-0.001367986215563664,-0.0005385785908633995,-0.0014146306139592377,-0.0010001245512189913,
390,FAM184A,-0.0006037170656730557,,-0.00046681574654744255,-0.00011388021078718655,
391,GANC,-0.001108542745884877,-0.0013666031185852268,-0.001674848219590218,-6.907281980219997e-06,-0.001038354150399325
392,LINC02694,-0.00044634089252830293,-0.0002703004232838457,-0.0013366208144239416,-0.0008638418301895132,-0.0014558396113502764
393,ATG4C,,,,-0.00017144402324999024,
394,DNAJC1,-0.0005553549209322637,-0.0006520331951072504,-0.0010430640238680835,-0.0007348976603177458,-0.001329617528146993
395,DUSP16,-0.00045475772125664476,-0.0011275779648180296,-0.0006316837348847608,-0.0004815260282669308,-0.002097760097631048
396,FHOD1,-0.001828971970794173,0.0002878600170204849,-0.0002887093098011568,,
397,MRPS9,-0.0008142079031852149,-0.0012208841296986427,-0.0007846078548106985,-0.0014119836278509747,-0.0005490459869383225
398,CLYBL,-0.0005592053768452149,-0.0003706929675573716,-0.0005665092964249122,-0.0007198012903259776,
399,PHIP,-0.0003845217693029552,-0.00013358089007120544,-0.0015606652371985084,-0.0006472647156950066,-0.0025480979789928374
400,OGFOD3,,-0.001995448492426043,,-0.0006417132501292814,
401,LITAF,-0.0014592793485774594,-0.0011806333277831881,-0.002467174722031786,-0.001290893251548516,-0.006296477964103634
402,FOXN2,-0.001001586056849058,-0.0006535235822976776,-0.0011684259768142777,-0.0008433742880378757,-0.0020552960271866417
403,MIR181A1HG,-0.0009850643115292424,0.00026012197824074566,-0.0015372999025606016,0.00033391163326927827,-0.0017824916765974367
404,ST6GALNAC4,-9.956195680272707e-05,,,0.0007756666355304056,0.0009011526384625802
405,KCNH8,,,,,
406,ANKRD42,-0.0016790886267021273,-0.000774091784828259,-0.0016561552154938123,-0.0009594162420538954,
407,THAP5,0.00012773424879613214,-8.542640446791618e-05,,-0.0005668668355984724,-0.0013393642297496351
408,XYLT2,,-0.0007159532842122424,,-0.0008573867637394553,
409,GNAO1,-0.0005547888182166911,-0.0014589125855809133,,2.32027415325662e-06,
410,PLCB1,-0.0004999352267017355,-0.001187887464145193,,-0.004412639924088194,
411,IL1RAP,-0.0015819566219279386,-0.0009055232883484416,-0.0009311069104629751,-0.0009592571665987164,
412,OLA1,-0.0007769707081488747,-0.00011672566612362135,-0.0017814387897725726,-0.00025405692569988557,0.00027123103669673965
413,MCM3,-0.001114969164698853,,-0.0004533079838720186,-0.0001976261265344715,
414,LINC02340,-0.0010519586691846352,,-0.0009959588620668406,-0.00023042550657867856,
415,CPNE8,-0.0021003410436740352,-0.001271040860482995,-0.002847998430609266,-0.001424843630398999,
416,RNF2,-0.0006416991451326879,-0.0019387356217701202,-5.5484105288643865e-05,-0.0012963377027132399,
417,MRTFB,-0.001413544720263003,,,0.0002587773759349602,
418,STX8,-0.0006703010224453302,-0.000360270048645802,,-0.0006289257015144392,
419,GRAMD2B,0.00045183001951659696,-0.003470158079649349,-0.004494058464600421,-0.00028590508965372144,-0.0071191620611707924
420,SPAST,0.0006944215409285803,-0.0006858021480055194,-0.0014736754621815524,-0.00028969526903515654,-0.00033750562333433563
421,BCL2,-0.0008090387874774658,-0.00047841435437629993,-0.0008402945060814971,-0.00012013033579410387,-0.0006349080528591632
422,ALS2,-0.0008537937905122202,-0.0005551298448086732,-0.0008002817777373345,-0.0006274640741921605,-0.0034272794701974228
423,N4BP2L1,-0.0007207946048325524,-0.0004048028425430294,-0.0004027925230628091,-0.00098688970815935,-0.003933899539492476
424,PAQR3,-0.0021160473115275687,-0.0018120298313326214,-0.0008305662443614768,-0.0013037660827176162,-0.006587946965416916
425,FASTKD1,,-0.0008184029787681752,,-0.0010143765502740754,
426,LIMD1,0.0011154960356286724,-0.0016157035555940773,0.0005004937495096014,-0.0010431931313337247,0.005254430190244911
427,LONRF3,-0.0023352868006577873,-0.0009112744099977546,-0.002351106813727008,0.0009374644937659143,-0.005146966996816538
428,TMEM170B,-0.00041136727571958187,-0.000860467522206405,,0.0004478808779479152,
429,TFB2M,-1.1564396194506388e-06,4.726618913807566e-05,-0.0013214263483482987,-0.001724866199316946,-0.0017684279617059297
430,SHF,-0.0018894534173637331,,,-0.0006016346463090308,
431,KATNAL1,,,,,
432,DAG1,-0.0026120632150021424,-0.001068703999469794,-0.00021755555540063382,-0.0001582275511999645,0.0001437210333278295
433,ECE1,-0.0007585535562878963,-0.000774308745223027,-0.0008867060991772499,-0.001214048772849508,-0.0016545762572825855
434,LINC00662,-0.0017397248495917492,-0.0015704561618240572,-0.001684110458365905,-0.0008182027564563599,-0.001399220510551193
435,SNX14,-0.0022300002888028256,-0.0005737446952138268,-0.0015018598858645843,-0.0005551141920753337,-0.001693195395421631
436,PDCD10,-0.0012890759536446908,-0.0005250930596691072,-0.00013537628982075896,0.00010461176284790995,-0.001236411356269472
437,DTNB,0.00026885722291635807,-7.178105057724371e-05,-0.0020738045827194754,-0.0005401527040108586,-0.0024754204808935653
438,CREB3L2,-0.0007187995626769588,-0.0004533458574984108,-0.0008501257063903006,-8.74553177550412e-05,-4.7989626494255797e-05
439,RRBP1,-0.0010082054499295197,-0.0011491407918441457,-0.0003288810900562754,0.0005619911570592905,
440,PTPN22,-0.0009073076481584414,-0.0007982440838327992,7.210715653183097e-07,-0.00039907026795509525,-0.0020391270884977195
441,RAB28,-0.0010991908406450378,-0.0009193441609745747,-0.0005264364777738907,-0.000577382229700921,-0.0007993392445105069
442,BCL6,0.00017719272751882953,-0.0009747395532626081,-0.0006842412160092187,-0.0003813026358140594,-0.0006572097181936952
443,CDYL,-0.001228267511027543,-0.0014144445681091153,-0.0006187881802437699,-0.001158712313759182,-0.0026625124480206125
444,SWAP70,,,-0.0017580325829770448,,-0.0
445,WASHC3,-0.0005935462922815318,-0.000620741729824353,-0.0005911970167859571,-0.0008861396978764495,-0.0033096263798913974
446,LIMS1,-0.0015826493902668763,-0.0016832021539863132,-0.0007275089639627429,-0.0005652768559253479,-0.007015169952305993
447,ADD3-AS1,-0.0004909839743637515,0.00017350376444919338,,-0.00037086498677013635,
448,SUSD4,,-0.0013917918686992131,,,
449,ZNF251,-0.0009224919548026962,-0.0006575941090855436,-0.0011759450881277528,-0.0009358723557163721,
450,TDRD3,-0.0019851857725280767,-0.0009045685237966065,-0.000539200587962395,-0.0010126189510118316,-0.0003185223034906908
451,FAM131A,-0.00022776464716060645,,-0.0009810223918827812,,
