,gene,decouple_TAC,couple_TAC,decouple_cortex,couple_cortex,decouple_irs,couple_irs,decouple_medulla,couple_medulla
0,1700025G04RIK,0.00571557138872722,-0.005725571388727219,0.010452783587992398,-0.010462783587992398,-0.006678741180701511,0.006668741180701512,0.0024103080004462957,-0.0024203080004462957
1,2610507B11RIK,0.007315697485684454,-0.0073256974856844535,0.00835716758702,-0.00836716758702,-0.0028295539214176213,0.0028195539214176213,0.0028449456763948444,-0.0028549456763948444
2,4833420G17RIK,0.0029433853753625255,-0.0029533853753625256,0.015057205712513053,-0.015067205712513052,0.0026912725090827427,-0.0027012725090827428,0.004505857887090681,-0.00451585788709068
3,5031439G07RIK,0.01058559427853794,-0.010595594278537939,0.008576289611440815,-0.008586289611440815,-0.03526940079797205,0.035259400797972046,-0.0019188841311224558,0.0019088841311224558
4,9930021J03RIK,0.004987106472430891,-0.004997106472430891,0.009682472387271032,-0.009692472387271032,0.005156056728911895,-0.005166056728911895,0.00532445459835558,-0.005334454598355579
5,AAK1,0.004845803231757775,-0.004855803231757775,0.011481859261406116,-0.011491859261406116,0.005411972951932617,-0.005421972951932617,0.0028544840394723325,-0.0028644840394723326
6,AASDH,0.0073759182082199365,-0.007385918208219936,0.013840188938576747,-0.013850188938576747,-0.0012657021859645845,0.0012557021859645845,-0.02226603732128546,0.02225603732128546
7,ABCC1,0.004647369732042057,-0.004657369732042057,0.008029149720646389,-0.008039149720646389,0.010588524099296767,-0.010598524099296767,0.00722053305745167,-0.007230533057451669
8,ABCF2,0.007875470818497293,-0.007885470818497293,-0.0023658133389606456,0.0023558133389606456,-0.010531940267753948,0.010521940267753948,0.0017344814028942973,-0.0017444814028942973
9,ABL1,0.00684489548148455,-0.00685489548148455,0.009187255422248741,-0.00919725542224874,0.0051740157308598905,-0.00518401573085989,0.010551950246332403,-0.010561950246332403
10,ABL2,0.0038143050193630776,-0.0038243050193630776,0.007189296569515516,-0.0071992965695155155,0.008853086267105875,-0.008863086267105875,0.009559623438671797,-0.009569623438671796
11,ACE2,0.0013170541706264763,-0.0013270541706264763,0.01018144698757932,-0.01019144698757932,-0.01197389850725089,0.011963898507250891,-0.03951244181494318,0.039502441814943175
12,ACOT9,0.002932115339500503,-0.002942115339500503,-0.012011754395928324,0.012001754395928325,-0.006517633928243338,0.006507633928243339,-0.013098583209053202,0.013088583209053203
13,ACVR1,0.006680534134875349,-0.0066905341348753485,0.01162965425592119,-0.01163965425592119,0.010927247020475817,-0.010937247020475816,0.011881774569874312,-0.011891774569874312
14,ACVR1B,0.004338666687965655,-0.004348666687965654,0.004609571552937841,-0.004619571552937841,0.002452116189370482,-0.002462116189370482,0.001357154536210825,-0.001367154536210825
15,ADAMTS9,0.009554445980775511,-0.00956444598077551,0.009382637543600483,-0.009392637543600483,-0.03207856509879374,0.03206856509879374,-0.0009646376316652938,0.0009546376316652938
16,ADARB1,0.008401448229019115,-0.008411448229019115,0.0024772212194024007,-0.0024872212194024007,-0.01402050151309328,0.014010501513093281,0.005859370209254852,-0.005869370209254852
17,AFF3,0.005411321603627228,-0.005421321603627228,0.014147069366094611,-0.01415706936609461,0.008533933423278878,-0.008543933423278877,0.008040447738561662,-0.008050447738561662
