,gene,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC
0,RP1,,,0.01541278272272692,-0.01541278272272692,,,,,,,,,,
1,LYPLA1,0.010257326518162184,-0.010257326518162184,0.007140204186606672,-0.007140204186606672,-0.005965759415173251,0.005965759415173251,0.0005370484913903989,-0.0005370484913903989,,,,,0.002407506366568366,-0.002407506366568366
2,RGS20,-0.004014408804771184,0.004014408804771184,-0.0008781174893964447,0.0008781174893964447,-0.003422063600855507,0.003422063600855507,-0.0008265029730931614,0.0008265029730931614,,,,,,
3,ST18,-0.020117863198541412,0.020117863198541412,0.003690152295314157,-0.003690152295314157,-0.0011795649800106778,0.0011795649800106778,,,,,,,0.007616799721821957,-0.007616799721821957
4,SNTG1,-0.003941115326628157,0.003941115326628157,-0.008925386871570205,0.008925386871570205,-0.001890130373777589,0.001890130373777589,-0.0017938808887303093,0.0017938808887303093,0.040466904435380695,-0.040466904435380695,,,,
5,ADHFE1,0.007941185452047077,-0.007941185452047077,-0.005012630830875081,0.005012630830875081,-0.005586191827487645,0.005586191827487645,-0.0015869220660541042,0.0015869220660541042,,,,,-0.0003243180808243998,0.0003243180808243998
6,MYBL1,0.0014873379024016309,-0.0014873379024016309,0.006931446698341642,-0.006931446698341642,0.004824422336776622,-0.004824422336776622,,,,,,,0.03272308692441071,-0.03272308692441071
7,1700034P13RIK,-0.007920403153094065,0.007920403153094065,0.017552155737044522,-0.017552155737044522,0.024659182526251516,-0.024659182526251516,0.00817150556656919,-0.00817150556656919,,,,,0.0012751995370171368,-0.0012751995370171368
8,CPA6,,,,,,,-0.0,0.0,,,,,,
9,PREX2,0.0021744630119008637,-0.0021744630119008637,0.002053479602219875,-0.002053479602219875,0.00035012046283130344,-0.00035012046283130344,0.0016172269566496408,-0.0016172269566496408,,,,,-0.0001742436442739928,0.0001742436442739928
10,A830018L16RIK,-0.006711013083015603,0.006711013083015603,0.02557380677968419,-0.02557380677968419,-0.001333009733809086,0.001333009733809086,-0.00356948780429852,0.00356948780429852,0.00028825237142546256,-0.00028825237142546256,,,0.003770549806437644,-0.003770549806437644
11,SULF1,-0.002845584947152681,0.002845584947152681,0.019246393504467475,-0.019246393504467475,-0.006369410277864827,0.006369410277864827,-0.002124016620679549,0.002124016620679549,,,,,,
12,EYA1,0.010641995555528,-0.010641995555528,-0.005351960110757913,0.005351960110757913,-0.002976151647713171,0.002976151647713171,0.0046244921327066035,-0.0046244921327066035,0.01836291982064342,-0.01836291982064342,,,0.0022512408143622736,-0.0022512408143622736
13,JPH1,0.004017510500580156,-0.004017510500580156,-0.0048404005500635935,0.0048404005500635935,-0.0012732712278353403,0.0012732712278353403,0.0012851498322068514,-0.0012851498322068514,,,,,0.03350557289705592,-0.03350557289705592
14,CRISPLD1,,,0.021516428438364682,-0.021516428438364682,,,,,,,,,,
15,GM28756,-0.006204937959626608,0.006204937959626608,0.004023171179944232,-0.004023171179944232,-0.003335488937324174,0.003335488937324174,-4.3255024263527675e-05,4.3255024263527675e-05,-0.0002463186874183815,0.0002463186874183815,,,0.0055349590668923,-0.0055349590668923
16,TFAP2D,0.0040754391286594305,-0.0040754391286594305,0.002724617273121746,-0.002724617273121746,0.0017827540607883025,-0.0017827540607883025,0.01882506009767787,-0.01882506009767787,,,,,,
17,MCM3,0.012209486691836045,-0.012209486691836045,0.002832196536267921,-0.002832196536267921,-0.00888810483214214,0.00888810483214214,0.005439630459517147,-0.005439630459517147,,,,,0.005325266335989787,-0.005325266335989787
18,PAQR8,-0.00946731427086351,0.00946731427086351,-0.0035611754949187377,0.0035611754949187377,0.006193640518361708,-0.006193640518361708,,,,,,,0.0034216179090235457,-0.0034216179090235457
19,TRAM2,0.007644710151592647,-0.007644710151592647,0.006306367914799119,-0.006306367914799119,-0.009819299081306312,0.009819299081306312,,,,,,,0.004189245641594348,-0.004189245641594348
20,KCNQ5,-0.001634263113397344,0.001634263113397344,-0.0020207111322308666,0.0020207111322308666,0.0011877961052829261,-0.0011877961052829261,0.00011410967072928574,-0.00011410967072928574,,,,,0.040043015317267,-0.040043015317267
21,GM28822,0.029014433271261887,-0.029014433271261887,-0.012785074620307688,0.012785074620307688,,,,,,,,,,
22,COL19A1,0.000548664973492749,-0.000548664973492749,0.016426187201695815,-0.016426187201695815,-0.004146130347205915,0.004146130347205915,,,,,,,-0.0004974138566724365,0.0004974138566724365
23,ADGRB3,-0.0009444912857548143,0.0009444912857548143,0.0003521605745859871,-0.0003521605745859871,-0.00014541578997278454,0.00014541578997278454,-0.0004340567537240228,0.0004340567537240228,,,,,0.0015504454421125767,-0.0015504454421125767
24,KHDRBS2,-0.0021754004458932885,0.0021754004458932885,0.0006991534041123626,-0.0006991534041123626,0.0003678533732261735,-0.0003678533732261735,-0.0007139440856050519,0.0007139440856050519,,,,,0.006883274585362191,-0.006883274585362191
25,PRIM2,-0.006621035386593713,0.006621035386593713,-0.010616300403294171,0.010616300403294171,-0.007233587089274816,0.007233587089274816,0.0005279924676586736,-0.0005279924676586736,,,,,-0.00036944022447608915,0.00036944022447608915
