,Unnamed: 0,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC,gene
BARD1,58.0,0.005680575457236034,-0.005690575457236034,0.006417699744962729,-0.006427699744962729,0.005548898425376632,-0.005558898425376633,0.008852006630820877,-0.008862006630820877,-0.010456201997241912,0.010446201997241913,0.01049095808030183,-0.010500958080301829,-0.0026274472691703997,0.0026174472691703997,
FN1,59.0,0.01200779243672459,-0.01201779243672459,0.005596863210457007,-0.005606863210457006,0.003942749834444953,-0.003952749834444953,0.012225008203222948,-0.01223500820322295,0.010812324303808518,-0.01082232430380852,0.011376828678049731,-0.01138682867804973,0.0036156252234494923,-0.003625625223449493,
MARCH4,60.0,0.0071261184098418565,-0.007136118409841854,-0.019470132738701927,0.019460132738701928,0.004805654337752235,-0.004815654337752235,0.012249996502624913,-0.012259996502624913,0.01140270396550168,-0.011412703965501678,0.0043420642283147496,-0.004352064228314747,0.005962437252263489,-0.005972437252263489,
IGFBP2,61.0,0.0068643307571289594,-0.006874330757128958,0.004945994331786843,-0.004955994331786843,0.005889046607773882,-0.005899046607773881,0.011084320759030876,-0.011094320759030874,0.006094720115990479,-0.006104720115990479,0.008087288972340859,-0.008097288972340858,0.00516325122878214,-0.005173251228782139,
IGFBP5,62.0,0.008607198752082296,-0.008617198752082295,0.007550987840059102,-0.0075609878400591,0.010014677939304814,-0.010024677939304814,0.01322414731821102,-0.013234147318211018,0.01390493958843908,-0.01391493958843908,0.008711073327796248,-0.008721073327796248,0.006945960507460887,-0.0069559605074608856,
TNS1,63.0,0.002091990285338061,-0.002101990285338061,0.007527053480343757,-0.007537053480343756,0.010597162894653234,-0.010607162894653232,-0.02460991130863052,0.024599911308630526,0.009065804320884788,-0.009075804320884787,0.014025299859381972,-0.014035299859381971,0.010077921038557258,-0.010087921038557258,
PLCD4,64.0,-0.005308493620259286,0.005298493620259286,0.005217615047076088,-0.005227615047076088,0.010518288252003,-0.010528288252003002,-0.031450906786693475,0.03144090678669347,0.01098607508417209,-0.01099607508417209,0.012151005077575215,-0.012161005077575216,0.0009915935533923656,-0.0010015935533923656,
SCG2,65.0,0.005861623442688675,-0.0058716234426886725,0.0019396546401357004,-0.0019496546401357004,0.0005314006339560834,-0.0005414006339560834,,,0.005723061331011442,-0.0057330613310114424,,,-0.0030309800599847003,0.0030209800599847003,
SERPINE2,66.0,0.003366808924575193,-0.003376808924575193,0.007463131309851781,-0.00747313130985178,0.008087358379277362,-0.008097358379277362,0.003002865819254339,-0.003012865819254339,-0.004853859928620113,0.004843859928620114,-0.0062800733956210044,0.006270073395621007,-0.0006561176963818666,0.0006461176963818665,
DOCK10,67.0,-0.025793747066619875,0.025783747066619882,0.007395356242015455,-0.007405356242015455,-0.029781302373596923,0.029771302373596924,0.007244542527227906,-0.007254542527227906,0.004939494173265113,-0.004949494173265114,0.005609862487850004,-0.005619862487850003,0.00761492075319882,-0.0076249207531988205,
