,gene,decouple_UL,couple_UL,decouple_RAO,couple_RAO,decouple_DL,couple_DL,decouple_Subplate,couple_Subplate,decouple_VSVZ,couple_VSVZ,decouple_IPC,couple_IPC,decouple_DC,couple_DC
24,KHDRBS2,0.0033198868766600304,-0.0033298868766600304,0.007234002448669619,-0.007244002448669618,0.002891256934775141,-0.002901256934775141,0.005269024836093317,-0.005279024836093316,0.005006475508371258,-0.005016475508371258,0.01014087911543353,-0.010150879115433529,0.005316279585732733,-0.005326279585732733
25,PRIM2,0.0049591922888446854,-0.004969192288844685,0.007635233152466572,-0.007645233152466572,0.005405407541758833,-0.005415407541758833,0.009717794223239568,-0.009727794223239567,0.008881755631457919,-0.008891755631457918,0.011518553067215123,-0.011528553067215123,0.006635742143541137,-0.006645742143541137
26,BEND6,0.005121464157297612,-0.005131464157297611,-0.0018088300405530583,0.0017988300405530583,0.0048178255046856105,-0.00482782550468561,0.008019720947409145,-0.008029720947409145,0.010261397483321513,-0.010271397483321513,0.007538807781205262,-0.007548807781205261,0.006379260934138445,-0.0063892609341384445
27,ARHGEF4,0.005493262074823757,-0.005503262074823757,0.006624050645891097,-0.0066340506458910965,0.014689291838348925,-0.014699291838348925,0.006664138763619862,-0.006674138763619861,0.012345753076534682,-0.012355753076534682,0.006372707010192685,-0.006382707010192685,0.006064555716153788,-0.006074555716153788
28,NPAS2,-0.003000431070602369,0.002990431070602369,-0.0063789594358011625,0.006368959435801163,0.010013203245265903,-0.010023203245265903,0.012260743068168725,-0.012270743068168725,,,,,,
29,GM29260,0.0050306936881186065,-0.005040693688118606,0.004552933839930981,-0.004562933839930981,0.009983339796988053,-0.009993339796988052,0.01051823662925569,-0.010528236629255689,0.005179680353203042,-0.005189680353203042,0.011207172365034282,-0.011217172365034282,0.00781601522402492,-0.007826015224024919
30,GM28175,0.003976431393317062,-0.0039864313933170616,0.0052290602785279305,-0.00523906027852793,0.006357939097931795,-0.006367939097931794,0.00952235299975722,-0.009532352999757219,0.005797286364580392,-0.005807286364580392,0.010424060479431022,-0.010434060479431021,0.007729906467538072,-0.007739906467538072
31,ECRG4,0.006790387019406555,-0.006800387019406554,0.007618942693938202,-0.007628942693938202,0.009032560850159618,-0.009042560850159618,-0.00930037455323049,0.00929037455323049,0.0014795942510426457,-0.0014895942510426458,-0.044720858515643495,0.04471085851564349,,
32,GULP1,,,0.0066761390525161834,-0.006686139052516183,0.008274619770408498,-0.008284619770408497,,,-0.009591908478655514,0.009581908478655515,0.008195746544004498,-0.008205746544004498,,
33,COL5A2,-0.00043793579973006036,0.00042793579973006033,0.0033808278547070303,-0.0033908278547070303,0.007703797088916511,-0.007713797088916511,0.004786086044161905,-0.004796086044161905,0.01031452102849477,-0.010324521028494769,0.010371854766581534,-0.010381854766581534,0.006774827602833988,-0.006784827602833988
34,DNAH7B,-0.011671948339401383,0.011661948339401384,0.003261319663025189,-0.003271319663025189,0.00970596261964922,-0.009715962619649219,0.00375363495224848,-0.0037636349522484802,0.00871855329610037,-0.00872855329610037,0.015417039743450447,-0.015427039743450447,0.005746235406476077,-0.005756235406476077
35,TMEFF2,0.004831944158267473,-0.004841944158267473,0.006094232334444727,-0.0061042323344447265,0.003968316340711153,-0.003978316340711153,0.0025464280955446866,-0.0025564280955446867,0.006277627835571203,-0.006287627835571203,0.01205682549859162,-0.01206682549859162,0.006098394411328742,-0.0061083944113287415
36,MYO1B,0.004831839595627385,-0.004841839595627385,0.006391779161206354,-0.006401779161206354,0.008089845511490806,-0.008099845511490806,0.010673543432068194,-0.010683543432068194,0.0058273487019869785,-0.005837348701986978,0.00989472310524317,-0.009904723105243169,0.0023370515788913165,-0.0023470515788913166
37,STAT1,-0.004479615395054731,0.004469615395054732,0.009047569385273235,-0.009057569385273235,0.005042712041760988,-0.005052712041760988,0.006955266037906485,-0.006965266037906485,0.006970756993982891,-0.00698075699398289,-0.018431169757080472,0.018421169757080472,-0.0011370456630187264,0.0011270456630187264
38,STK17B,,,0.00801141018345966,-0.00802141018345966,,,,,,,0.007900229625075611,-0.00791022962507561,0.007248366641477336,-0.007258366641477335
39,HECW2,0.00791150872650112,-0.00792150872650112,0.008559244082886885,-0.008569244082886885,0.004620883049318625,-0.004630883049318624,0.0073440032156149165,-0.007354003215614916,0.011207371085638199,-0.011217371085638198,0.012027959649973233,-0.012037959649973232,0.008917471314102948,-0.008927471314102948
40,RFTN2,0.0018992591488147248,-0.0019092591488147248,0.005855772204760051,-0.005865772204760051,0.01045577713796976,-0.01046577713796976,,,0.00914058906428769,-0.00915058906428769,0.014663233146878382,-0.014673233146878382,0.00788539559631174,-0.007895395596311739
41,PLCL1,0.00395492953383382,-0.00396492953383382,0.005943052213557731,-0.005953052213557731,0.007982314736927995,-0.007992314736927995,0.008259269069278471,-0.008269269069278471,0.00522770133935023,-0.005237701339350229,0.011178162324462143,-0.011188162324462143,0.0044071016919802405,-0.00441710169198024
42,SATB2,4.7481046447528374e-05,-5.7481046447528374e-05,0.0076655918328788625,-0.007675591832878862,0.003650000368570633,-0.003660000368570633,0.010141806972032694,-0.010151806972032693,0.00531053883243067,-0.005320538832430669,0.010632116054913363,-0.010642116054913362,0.00643237489327074,-0.006442374893270739
43,9130024F11RIK,0.0039798891461074876,-0.003989889146107487,0.00658529554122482,-0.0065952955412248195,0.005125689229657823,-0.005135689229657823,0.010295608607776952,-0.010305608607776951,0.0054717420526239485,-0.005481742052623948,0.014395772394528841,-0.014405772394528841,0.006493854236159793,-0.006503854236159793
44,SPATS2L,0.00845276892556722,-0.008462768925567219,0.008149502006415066,-0.008159502006415065,0.00872838096672883,-0.00873838096672883,0.010231562407756675,-0.010241562407756675,0.010306430292050056,-0.010316430292050056,-0.00456692760107702,0.00455692760107702,0.007588318158700716,-0.0075983181587007155
45,SGO2A,-0.010937139779853153,0.010927139779853153,0.004965175357507193,-0.004975175357507192,0.010581077206907638,-0.010591077206907638,-0.028114954171138844,0.028104954171138844,0.003181530804346952,-0.003191530804346952,,,0.0048793812624530405,-0.00488938126245304
46,CASP8,,,-0.0020315420326498246,0.0020215420326498246,,,,,,,0.0033564791792538157,-0.0033664791792538157,,
47,GM973,-0.03892923624099398,0.03891923624099398,0.007022944925293359,-0.007032944925293359,0.008337871554076476,-0.008347871554076475,0.0011009855558009457,-0.0011109855558009457,,,,,-0.0005767610847484811,0.0005667610847484811
48,PARD3B,0.001879925547218303,-0.001889925547218303,0.006979668360413263,-0.006989668360413263,0.006186840060471016,-0.006196840060471016,0.010828031466019933,-0.010838031466019932,0.012336997461227545,-0.012346997461227544,0.010996849567953063,-0.011006849567953062,0.006426819727976457,-0.006436819727976457
49,PARD3BOS1,,,0.00998345170419776,-0.00999345170419776,-0.01064468123046311,0.01063468123046311,-0.00035726694022994443,0.0003472669402299444,-0.02841048690589522,0.02840048690589522,-0.01976968535032725,0.01975968535032725,0.013139766974701192,-0.013149766974701192
50,NRP2,0.011684641541117952,-0.011694641541117951,0.0042275978676455245,-0.004237597867645524,0.014687149096750077,-0.014697149096750076,0.006029500287472164,-0.006039500287472164,0.007182062462386049,-0.007192062462386049,0.009287822358826053,-0.009297822358826053,0.003420609842124653,-0.003430609842124653
